DATE,TIME,ADDRESS,MUNICIPALITY,CRIME
2/24/2018,8:39,609 Berckman St,PLAINFIELD,CRIMINAL MISCHIEF
2/24/2018,9:31,33 Sandford Av,PLAINFIELD,CRIMINAL MISCHIEF
2/24/2018,10:14,100 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/24/2018,10:55,Somerset St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/24/2018,11:39,130 East 2nd St,PLAINFIELD,SIMPLE ASSAULT
2/24/2018,14:44,1412 Evergreen Av,PLAINFIELD,FRAUD
2/24/2018,17:17,Grant Av && West 3rd St,PLAINFIELD,SIMPLE ASSAULT
2/24/2018,17:53,1127 West 3rd St,PLAINFIELD,ASSAULT - KNIFE OR CUTTING INSTRUMENT
2/24/2018,19:36,822 Madison Av,PLAINFIELD,SIMPLE ASSAULT
2/24/2018,22:33,New St && West Front St,PLAINFIELD,SIMPLE ASSAULT
2/25/2018,0:14,300 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/25/2018,1:27,44 Watchung Av,PLAINFIELD,SIMPLE ASSAULT
2/25/2018,14:29,100 Church St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/25/2018,15:03,100 Church St,PLAINFIELD,POSSESSION OF MARIJUANA
2/25/2018,16:21,235 East Front St,PLAINFIELD,LARCENY UNDER $50 - SHOPLIFTING
2/25/2018,17:51,1331 Lake St,PLAINFIELD,SIMPLE ASSAULT
2/25/2018,18:26,East Front St && Leland Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/25/2018,18:43,519 Park Av,PLAINFIELD,SIMPLE ASSAULT
2/25/2018,23:34,227 Grant Av,PLAINFIELD,SIMPLE ASSAULT
2/26/2018,6:56,1020 West 6th St,PLAINFIELD,UNLAWFUL ENTRY - NONRESIDENCE - NIGHT
2/26/2018,9:45,1009 East 2nd St,PLAINFIELD,MISSING MINOR
2/26/2018,10:28,122 North Av,PLAINFIELD,CRIMINAL MISCHIEF
2/26/2018,10:43,123 East 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
2/26/2018,12:39,61 Terrill Rd,PLAINFIELD,LARCENY OVER $200 - OTHER
2/26/2018,15:10,1003 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
