Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
,,,,,,,,
,,,,,,,,
101,18002072,LIBERTY ST & WEST 4TH ST,40.61268,-74.42541,HOTSPOT PATROL,1/12/2018 9:50,1/12/2018 10:15,25.5
106,18002962,300 HILLCREST AV,40.63576,-74.405822,HOTSPOT PATROL,1/16/2018 23:28,1/16/2018 23:44,16
103,18003173,1022 ROSE ST,40.609034,-74.411041,PROACTIVE PATRO,1/18/2018 0:40,1/18/2018 0:57,16.95
104,18003174,111 EAST FRONT ST,40.618968,-74.423645,PROACTIVE PATRO,1/18/2018 0:41,1/18/2018 1:00,19.87
101,18003176,1200 WEST FRONT ST,40.603372,-74.445369,PROACTIVE PATRO,1/18/2018 0:49,1/18/2018 1:05,16.17
101,18003197,747 SOUTH 2ND ST,40.608368,-74.434112,PROACTIVE PATRO,1/18/2018 3:44,1/18/2018 4:03,19.15
105,18003198,EAST 2ND ST & WATCHUNG AV,40.61957,-74.42101,PROACTIVE PATRO,1/18/2018 3:47,1/18/2018 3:57,10.78
105,18009123,128 EAST 7TH ST,40.615777,-74.41656,HOTSPOT PATROL,2/18/2018 11:17,2/18/2018 11:24,6.7
107,18010372,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PATROL,2/25/2018 11:52,2/25/2018 12:04,11.83
101,18010635,1521 SOUTH 2ND ST,40.59867,-74.449168,HOTSPOT PATROL,2/26/2018 18:46,2/26/2018 19:02,16.27
101,18014153,325 STEBBINS PL,40.605014,-74.435153,HOTSPOT PATROL,3/14/2018 16:02,3/14/2018 16:16,13.38
102,18014302,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PATROL,3/15/2018 10:00,3/15/2018 10:21,21.6
103,18015275,202 WEST 7TH ST,40.613871,-74.418705,PROACTIVE PATRO,3/21/2018 3:01,3/21/2018 3:18,16.07
101,18015299,324 MONROE AV,40.603602,-74.437311,HOTSPOT PATROL,3/21/2018 7:49,3/21/2018 8:14,25.17
107,18015343,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PATROL,3/21/2018 15:38,3/21/2018 17:21,102.65
101,18015431,325 STEBBINS PL,40.605014,-74.435153,HOTSPOT PATROL,3/22/2018 7:40,3/22/2018 8:09,28.63
102,18015710,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PATROL,3/23/2018 10:56,3/23/2018 11:07,11.07
106,18019206,10 LELAND AV,40.635978,-74.411599,HOTSPOT PATROL,4/13/2018 18:31,4/13/2018 18:57,25.8
102,18019321,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PATROL,4/14/2018 7:33,4/14/2018 7:43,10.35
101,18019535,227 GRANT AV,40.607453,-74.433813,HOTSPOT PATROL,4/15/2018 7:48,4/15/2018 8:15,26.52
106,18019536,10 LELAND AV,40.635978,-74.411599,HOTSPOT PATROL,4/15/2018 7:49,4/15/2018 8:12,23.05
102,18019551,520 CENTRAL AV,40.613279,-74.421559,HOTSPOT PATROL,4/15/2018 10:49,4/15/2018 11:06,16.97
102,18020781,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PATROL,4/22/2018 10:35,4/22/2018 10:53,18.13
